Roll no.,Name Surname,Age,Gender,Students id,Grade,Email,Phone,Major
118,Koçak Manço,18,Male,646617529,0.47,kocakmanco@itu.edu.tr,05663040040,Food Engineering
265,Vildane Çetin,17,Female,376020608,2.55,vildanecetin@itu.edu.tr,05702083912,Geophysical Engineering
112,Behiza Akar,24,Female,852670588,0.98,behizaakar@itu.edu.tr,05177761384,Food Engineering
184,Abdulmenaf Akçay,30,Male,316941201,2.56,abdulmenafakcay@itu.edu.tr,05077800415,Computer Engineering
59,Müğber Yılmaz,27,Female,132393512,1.88,mugberyilmaz@itu.edu.tr,05545958775,Ship Machinery Management Engineering
14,Abdürreşit Şama,23,Male,305786852,3.81,abdurresitsama@itu.edu.tr,05309528493,Geological Engineering
156,Karlukhan Çorlu,30,Male,294994865,1.61,karlukhancorlu@itu.edu.tr,05543305832,Metallurgy and Materials Engineering
231,İldem Karadeniz,19,Male,125075126,1.54,i̇ldemkaradeniz@itu.edu.tr,05638551767,Electrical Engineering
295,Yekbun Kısakürek,27,Female,474999528,2.12,yekbunkisakurek@itu.edu.tr,05470124904,Landscape Architecture
10,Cercis Kısakürek,19,Male,739950607,2.27,cerciskisakurek@itu.edu.tr,05865386967,Industrial Engineering
232,Süvari Tevetoğlu,26,Male,907574510,1.85,suvaritevetoglu@itu.edu.tr,05566550557,Ship Machinery Management Engineering
165,Emine. Durmuş,25,Female,299235409,2.74,emine.durmus@itu.edu.tr,05800820353,Ship Machinery Management Engineering
297,Oruç Mansız,18,Male,309090162,3.27,orucmansiz@itu.edu.tr,05188313357,Textile Engineering
239,Mücevher Durmuş,25,Female,541272834,2.13,mucevherdurmus@itu.edu.tr,05615477494,Geophysical Engineering
226,Harbinaz Öcalan,20,Female,435430463,2.95,harbinazocalan@itu.edu.tr,05793603294,City and Region Planning
139,Denkel Dumanlı,27,Male,925529104,0.43,denkeldumanli@itu.edu.tr,05204658270,Textile Development and Marketing
129,Gülözge Yılmaz,29,Female,168556860,3.39,gulozgeyilmaz@itu.edu.tr,05333593306,Ship and Marine Technology Engineering
81,Meyhanim Durmuş,27,Female,372563590,0.26,meyhanimdurmus@itu.edu.tr,05824216396,Naval Construction and Ship Machinery Engineering
55,Gülbani Durmuş,28,Female,503175896,1.86,gulbanidurmus@itu.edu.tr,05937044130,Geological Engineering
186,Tagangül Bilgin,23,Female,297345768,0.57,tagangulbilgin@itu.edu.tr,05752777162,Mining Engineering
36,Aksöğüt Bilir,19,Male,443543587,0.98,aksogutbilir@itu.edu.tr,05861436252,Physics Engineering
